id.tender;id.lot;date;id.procurer;id.bidder;cpv;good;procedure;threshold;count;expected.value;round.0;round.3;quantity;measurement
UA-2016-07-11-000015-b;UA-2016-07-11-000015-b-L1;11.07.2016;39663933;3193723739;30197630-1 Папір для друку;Офісний папір для друку та копіювання формату А4, 500 аркушів в упаковці;Допорогова закупівля;Допороги;3;4125;3464;3410;55;упаковка
UA-2016-07-11-000175-c;UA-2016-07-11-000175-c-L1;11.07.2016;40055626;23860120;30197630-1 Папір для друку;Папір канцелярський А4, 500 аркушів в пачці, щільність - 80 г/м2, колір білий;Допорогова закупівля;Допороги;4;8700;6435;6435;110;пачок
UA-2016-07-11-000002-b;UA-2016-07-11-000002-b-L1;11.07.2016;21316026;2894117634;30197630-1 Папір для друку;папір для друку, білий, формату А4, 500 листків в пачці;Допорогова закупівля;Допороги;3;3200;2592;2560;40;пачок
UA-2016-07-11-000012-c;UA-2016-07-11-000012-c-L1;11.07.2016;25190823;25394112;30199110-4 Копіювальний папір;папір ксероксний;Допорогова закупівля;Допороги;2;7200;5643;5643;75;пачка
UA-2016-07-11-000255-b;UA-2016-07-11-000255-b-L1;11.07.2016;2230359;23293849;30199110-4 Копіювальний папір;Офісний папір для принтера, ксерокса, формат А4 (210х297 мм), білий, щільність 80г/м.кв., упаковка-500 листів в пачці;Допорогова закупівля;Допороги;2;4200;3120;3120;40;пачок
UA-2016-07-12-000121-a;UA-2016-07-12-000121-a-L1;12.07.2016;37710766;32481905;30197630-1 Папір для друку;"Папір офісний формату А4 - 80 г/м2 класу А, В (по 500 арк.у пачці, по 5 пачок у одній коробці), для використання в чорно-білих копірах, лазерних і струменевих принтерах, без запаху, без вмісту шкідливих хімічних речовин (хлор, важкі метали, деревні смоли). Максимальна сума за 100 пачок паперу - 6300грн.
Доставка товару здійснюється за рахунок постачальника у термін 1-2 дні,після оголошення переможця. Оплата-після поставки товару.";Допорогова закупівля;Допороги;2;6300;6054;5957;100;пачок
UA-2016-07-12-000223-a;UA-2016-07-12-000223-a-L1;12.07.2016;2315802;23293849;30197630-1 Папір для друку;Папір офісний, формат А-4;Допорогова закупівля;Допороги;2;27400;26922;26100;420;пачка
UA-2016-07-12-000120-a;UA-2016-07-12-000120-a-L1;12.07.2016;22964365;25394112;30197630-1 Папір для друку;Папір офісний формату А4, Клас С, 80г/м2 – 100 упаковок по 500 аркушів. Дивитись додатки до оголошення: Технічний опис, наш договір;Допорогова закупівля;Допороги;3;7000;6210;5946;100;пачок
UA-2016-07-12-000174-c;UA-2016-07-12-000174-c-L1;12.07.2016;23294808;23293849;30197630-1 Папір для друку;"папір офісний для друку та копіювання, щільність 80 г/м2; 210 *297 мм.; колір білий, білизна СІЕ 150%, упаковка по 500 аркушів, формат А4";Допорогова закупівля;Допороги;4;5950;5248;5247;85;пачок
UA-2016-07-12-000032-a;UA-2016-07-12-000032-a-L1;12.07.2016;21467676;25394112;30197630-1 Папір для друку;Папір А4;Допорогова закупівля;Допороги;2;7500;6228;6000;100;пачок
UA-2016-07-12-000059-c;UA-2016-07-12-000059-c-L1;12.07.2016;33271905;25394112;30197630-1 Папір для друку;Папір офісний формату А4;Допорогова закупівля;Допороги;2;4500;3900;3810;60;пачок
